Host Registry - Last Updated: Apr 18, 2026 3:30 AM EDT

Subnet: 192.168.68.0/24 (Zoom - 192.168.68.1)
────────────────────────────────────────────────────────────────────────────────
linux-4.local        192.168.68.99      44-3D-54-1A-A6-84  Unknown    Online
BK-AUX.local         192.168.68.100     44-61-32-97-41-0F  Unknown    Online
amazon-d4c674b70.local 192.168.68.101     10-96-93-B2-6E-B4  Wireless   Online
Office.local         192.168.68.102     F0-B3-EC-3B-B3-D5  Wired      Online
B0FFDF.local         192.168.68.103     D8-F1-5B-B0-FF-DF  Wireless   Online
hydra.local          192.168.68.104     68-CA-C4-9B-C7-04  Wireless   Online
chaos.local          192.168.68.105     4C-20-B8-AB-05-C9  Wired      Online
iPhone.local         192.168.68.106     A6-8B-E8-D2-8A-FA  Wireless   Online
flichub.local        192.168.68.107     62-6E-E9-BF-61-8B  Wired      Online
Unknown              192.168.68.108     84-2A-FD-46-6B-EA  Wireless   Online
Lutron-01669156.local 192.168.68.109     EC-11-27-C7-8C-81  Wired      Online
HarmonyHub.local     192.168.68.110     00-04-20-F1-2A-89  Wireless   Online
Living-Room.local    192.168.68.111     C8-69-CD-46-2A-BB  Wired      Online
tablet.local         192.168.68.112     44-42-01-A9-50-6A  Wireless   Online
ecobee.local         192.168.68.113     44-61-32-87-5D-9F  Wireless   Online
amazon-0db3ba109.local 192.168.68.114     14-0A-C5-B1-80-46  Wireless   Online
MacBookPro.local     192.168.68.115     22-0B-A4-11-2C-71  Wireless   Online
Pixel-6a.local       192.168.68.116     B2-1B-68-97-B4-5C  Wireless   Online
deimos.local         192.168.68.117     02-01-25-AC-10-5F  Wired      Online
Amazon.local         192.168.68.118     68-B6-91-D2-33-AE  Wireless   Online
Macmini.local        192.168.68.119     4A-48-B0-30-AF-CA  Wireless   Online
SonosZP.local        192.168.68.120     B8-E9-37-7C-84-26  Wireless   Online
iPhone.local         192.168.68.125     BA-D8-FF-04-3A-FF  Wireless   Online
hades.local          192.168.68.126     88-A2-9E-28-B8-92  Wired      Online

Total: 24 hosts across 1 subnet
